Pros,Cons,Pros_topics,Cons_topics
The ability to drive and get paid for it any time I am available makes the Uber Partner platform an excellent employment choice. Choice is so valuable it turns into a privilege. Driving for a full hour of work amounts to a descent pay given its cons.,"Managing resources becomes very stressful with the control you have as an Uber Partner. You can't set the amount you'll charge passengers and you'll never know where you'll end up after a fare is complete. Uber remedies this with excellent incentives such as paid long distance pick ups, set destination pickups, and trip count completion goals but leaves much to be desired. You'll face plenty of competition and as a result...",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Make your own schedule, ok side gig",Expensives will drag you below minimum wage unless you are in SF or NY,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"Great company to work for. As a female, I have found the culture to be fantastic. It is very team oriented and people genuinely want to help you succeed. There is a ton of room for professional growth across the org and in general the company is still open to innovative solutions.",Still a young company with many foundational components that still need to be implemented,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Could work when wanted to,  at first really great pay.","Dealing with extremely intoxicated, crazy people that always trashed your vehicle. There wasn’t much support from corporate when you had an issue with a passenger.",things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
It helps to pay the bills.,"I understand ride-share companies want to milk their drivers for every penny per mile that they can, but ALL drivers should receive the SAME number of rides to receive BONUSES as every and any other driver! Also, I filed this complaint with the Help Desk and it has not been addressed.",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"Flexibility,you never late,Drive when you want and where you want,meet some people that can motivate you doing something more in your life","Rate cuts,$xmile is aweful right now as 08/27/2018 Dallas-Fort Worth is .60 cents per mile,Uber doesn't care about you but abour your business,the one you can bring them.",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Your gas and time will make Uber earn more money! (After all it's benefiting someone! Who cares how much exploited you are!),Everything except when you get a promotional pay or when customer falls asleep  and could not receive the food! ;),income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Uber is a fast growing company with new opportunities all over the world for people of all ages. What's great about that is you get to work with people from all over the worlds and share expertise. No matter your location or age, you can get a great working opportunity.","Here in Egypt, the environment is good, but there's a great area of improvement. The company is still growing, and we are still in the process of creating a structured operations, so it can get messy and hectic for a lot of people who are used to organized operations.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Convenient hours thats about it.,"Earnings: We are not paid for driving 2, 5, 20 or even 30 minutes to pick up a passenger.  After picking up, drivers in Tucson receive 75 cents a mile and 9 cents per minute.  The IRS allows us to deduct 55 cents per mile.  By the IRS deduction, I don’t earn anything after adding up my mileage - how far I drove for a pick up versus how far I drove to drop someone off.  It adds up to covering my vehicle expenses only....",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Instant Pay. That is it.,"Uber is by far one of the worst companies on Planet Earth. You do a ride uber takes more than half  of the profit. Instant pay is always down. Will wear your car to shreds between oil changes, tires, av axles ect. Carry so many different people in your car is stressful to the car itself. People never tip. Can't blame them. The amount they are charged is ridiculous. The driver sees pennies of that. The new owner of uber...",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
I can travel over Toronto.,Very dangerous to ride a bicycle and it makes me getting tired.,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Great side job to make extra income in your spare time,"The money you make for Uber isn’t great. On avg. I get about 12-13/ hr. Which sounds good but after gas, maintenance, and cost associated with having a car you barely have enough money to eat. Not to mention your cell phone bill. Also they canceled my instant pay which pretty much killed my ability to make money. Can’t drive if you don’t have cash. And having to wait for a deposit to hit means you have days you can’t...",income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Flexible schedule and able to work Saturday night.     time goes fast and you have back to back rides.,Far away trips sometimes you dont get trip coming back......,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"You have a lot of autonomy, you can participate in any project that you find interesting and there is a lot to be improved because things change fast.","The company isn't as organized as it should be because it has grown really fast, however it can be a move that you can make in your team.",growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Fast growth, international company with very talented people.",Integrating processes is challenging in a company this big and operating in so many different markets.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Get paid at the end of the day,"pay is very very sporadic, can make $8 an hour at times and at other times can make $20 an hour depending on the time and season",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Can create your own hours and be your own boss,Dealing with issues regarding account can get frustrating due to the ineptitude of customer service.,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Flexibility and ability to make ones own schedule,"Pay is low , rarely does anyone tip, wear and tear on car,  uber app has issues. GPS got me lost many times.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Work when you want, no boss to deal with.",horrible pay compared to doordash. I made 4 bucks on 1 trip and 4 on another that both were 20 minute drives. Doordash pays twice as much. Also uber deducted one of my delivery payouts because the customer said they didnt get their food. I am now asking customers to sign when I drop off their food and explain why. That way they dont lie to get a free meal and I dont lose my penny profit.,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
The work is extremely interesting. The product is used by everyone which is a really cool feeling. It has the benefits of a big tech company.,Some offices have fewer perks than you would expect. Other offices are a lot better.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Make money when you need quick cash, own hours",Wear and tear on the car. Average money made is not worth it. Good for someone who just wants to get out,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Meeting new people and getting out of the house,Not knowing where you’re going until you click on the pop up,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Working when you want is great.,Uber takes a large percentage of earnings,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
None in reality. Totally disappointing,"Pays to low for driving a distance to the restaurants, and low pay fees to deliver them. Totally disappointing",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"Stereotypical tech company perks, good benefits, uncapped comission","Having to negotiate with restaurant owners (the most unreliable people in the world), depending on your manager-your work will speak for itself - not too much micromanaging, incredibly passive aggressive management style",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
uber x is ok uber pool express &amp; eats pass unless your chasing a bonus,mileage rate is too low especially on uber pool or express wear &amp; tear on your vehicle not worth it unless your in a major city all the fares are less than 5 minutes away sometimes not busy,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
Flexible hours and good for emergency  cash,Not many some times getting caught in traffic in way to pickup,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Excellent learning environment, good benefits",Salary is not high with respect to the needed work.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Flexible work when you want,Pay needs to increase for drivers,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Uber is a huge company so every team in every geo has different dynamics but overall the company is working hard to remain as focused on top priorities and moving forward with its main challenges. The culture is fast-paced but with unique challenges that come with Uber's scale (even if something affects 1% of trips, that's a lot of trips and so on). On top of that, they aim to keep a structured approach to work-life balance...","Everything is great, can't come up with any cons.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
You can make your own schedule,Process was a bit lengthy (about 6 weeks) but other that that I'm very satisfied with my experience.,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
"After having worked at several Dutch companies over past several years and exploring the market by attending professional gatherings and applying for different jobs in the field, I think that Uber is one of the best tech employers in the Netherlands, because of the challenges at work, career opportunities and compensation (salary and benefits).  Uber employs smart and knowledgeable engineers who like to share their experience...",The company takes out too many fees.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Independance and great money.,Sometimes you have to drive a distance to get to an area that needs drivers if you don't live in atlanta.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"All the normal tech company perks, pretty good work life balance, dog friendly office, etc etc etc",I honestly don't have anything to complain about so far.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"I love the fact that they have the option to work the hours you want, being a night owl I love to drive late night so it's a perfect system.","N/A , I think for now",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Easy pick your own schedule,Bad customer service lack of communication,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Same day pay. Instantly deposited to your debit card.,Your trading in the equity value of your car for cash. It's not worth it unless you Desperately need money. (EX: If you had to choose between not eating for the day and doing Uber was your only option then by all means it may be worth it for you) Uber takes a chunk of your earnings with every ride...not sure how it was before but from the looks of past reviews drivers were ba lot more happier with their earning a couple...,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
You get to meet people from all over the world and get to know people you'd never meet otherwise. My rating is 4.97 with 997 trips. I loved the flexibility the most...which is why I do it.,My experience was overall great... but the pay and wear and tear on my vehicle makes it not viable long term.,growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
Ability to set your own schedule,Use your own car and gas,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Great path to move up after a short time,I am new here so nothing yet,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Own hours drive your car,Little pay very boring,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"I got a lot of experience during my work at Uber as Partners Support Representative. meet lots of Uber and Uber Driver users with 1 on 1. giving a very valuable experience, there I can measure how professional I'm","Overall uber has a good organization, but very unfortunate how uber work that adheres to the work of uber abroad can not be accepted by the people of Indonesia.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"It's easier than some delivery apps, because you don't have to order or pay for the food yourself.","Everyone I know who drives for ubereats knows they don't care about us. They tried to get us excited about an app update which turned out to be purely cosmetic. They talked about a new ""wage increase"" that's actually a wage decrease for people in most cities. They're the only delivery app I know of that gives the driver so little information - you have no idea where you're taking the food until after you've picked it...",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
Own schedule. Own schedule. Own schedule,Low pay. Low pings. Crazy surge,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Work on your own time, earn extra income, meet some great and interesting people, learn the area more, having fun on the job!","Not enough demand in Atlanta, lack of incentives for drives to take to the road and accept riders, low fares for riders = low pay for drivers, gas prices will take a lot of what you earn if demand is not high, no benefits other that flexibility of work hours.",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
Your own schedule and that's it.,I've driven for ubereats for about 6 months and it's getting worse. Now they launched a new payout that's supposed to pay you equal to minimum wage minus the drive to pick up the order. They're calculating the wait time. So they ping you to pick up food further now so they don't have to pay you a wait time. That means a longer commute to pick up the order and more gas. McDonalds has to be the worse. My last order was...,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Cool app, easy to use. Make your own hours.",not make enough  money,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"plently of business, peak time","pointless, ignorant, time wasted, stupid",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
"None, you will like lyft better",Young people in management need seasoning.,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
Good salary. Second to none benefits.,"You put plenty of miles on your vehicle.  I'd recommend having a vehicle extended warrantee on it, and perhaps an AAA membership to help mitigate.",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"Flexible hours and decent pay.  Since Uber requires customers to use either a credit card or a debit card tied to an active bank account (as opposed to a pre-paid debit card), you stay clear of the riskiest customers that cannot be traced easily.",Very hard on the vehicle's maintenance,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Help gain additional income while in school,"Uber Eats is by far one of the worst employer experiences I have had in my entire life. No training or appropriate resources are provided. The app gives incorrect navigational directions, sends you on deliveries to and from bad and unsafe areas at unconfirmed and often incorrectly given addresses. Most customers treat you like an automated drone and simply take the food without even friendly greeting or a thank you. They...",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Insanely smart people, massive problem space growing by the day, and plenty of career growth opportunities. Still a fairly horizontal structure, but depends on organization. New leadership heading company in the right direction and ushering us into being a company versus a start-up.","Uber has long had an identify crisis whether it is a large start-up or medium-sized corporation. With this, many of the controls and infrastructure needed for a company of this size don't exist still.  Also, given the space, priorities shift quickly. The hottest problem last half could be totally defunded the next, which can be frustrating.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"if you really think about it, there are no pros","the drivers which make this company run are treated the worst and uber is constantly trying to find ways to take money from the drivers... customers lie and give bad ratings and there's nothing you can do about it, uber gives out batch orders that customers don't know about and use it like you took long when there was an actual delivery before them, also uber short changes you on batch deliveries(best to not accept them)...",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
None. they never got back to me.  Very limited contact information in regard to questions and  getting back to REAL PEOPLE  who want to work and make an honest wage....This company in my experieince is a SCAM!,Could not contact anyone for help in regard to setting up a position.,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
"Amazing culture, value, and work-life balance. Folks are extremely talented and collaborative. Diversity environment. The Benefits are next level.  The Leadership team are open and interested in your ideas from any level. I'm feel very proud to work here.",I just completed 3 months working at Uber and until now nothing to say about downside.,things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Flexible hours, easy work that allows you to chill and listen to music as you drive, possibility of earning 15-20 per hour during best days with tips.","No gas money provided, few customers tip, no guaranteed minimum on slow days.",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Get to work with so many amazing people and make great friends. The young nature of the company means that there is a huge amount of change happening every day, and it's an great feeling to see a project that you worked on get launched in just a few short months and get rolled out to the rest of the world. The receptiveness of new ideas is a huge pro, as it allows Uber and Uber Eats to continuously evolve and streamline...","Although having a relaxed office can fantastic, sometimes it's a little too much, and it feels like more of a social hangout than a proper work environment.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Only Uber provides you the best financial security in current unstable economic conditions of Pakistan.so this is the best time to join uber,I have no words to explain downside to work at uber,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"It was start up company. Learned a lot just starting in my career path. Definitely their were some issues management, but I would recommend to anyone fresh out of college or still attending. Great benefits, chill environment. No micromanage. Free lunch and snacks. Always providing new trainings for new products launching.  Provide scheduling for all 3 shifts with pay increase","Pay could definitely be increased, more positions that pertain to the need of the job itself. Sending out lines of business out the department",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"Greta place to work, work life balance, good collaborative environment",Lots of changes all the time but I see that as a positive thing,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
No pros. Just lots of cons,My as well take 20 dollar bills and throw them out the window. Just not worth it. They keep lowering rates for drivers.,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
good benefits and competitive people to work with,The business is not very stable and often got negative news,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
I love and enjoy the flexible schedule,There is no such cons,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"make own hours, driver app is stable",Some toe steppers are really annoying.,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"Cutting edge technology, smart people, unmet challenge, fast growth.","High pressure enviroment, and not so flexible with deadlines. As an Intern, you get requested as much as anyone else in the company but is paid less.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Good to meet people, good application but need upgrades","In March 2018, Uber sold its southeast Asia business to Grab and exited the market in this part of the world.",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Work whenever, make more than minimum wage, get to meet cool people, discover different areas in the city","Never know when it’s going to be busy or not, people aren’t very respectful of your vehicle, wear and tear on vehicle",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Great for women drivers during the day.,Night time pick ups are not suggested unless pick ups  are at the airport. Security concerns when men  sit in the front seat. Uber should advise men traveling alone to sit in back unless woman driver invites passenger in front seat. Just unsafe for women drivers at night with no button to press in case your in situation.,things growth takes pay culture employees think customers benefits rates,pay car uber wear gas tear low vehicle driver time
"Fantastic benefits, absolutely top of the line. Catered lunches, credits for Uber rides or UberEats, very supportive work environment.","A little bit disorganized in the HR department, but totally willing to own mistakes.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Paid daily, surges, and meeting cool people",Everything is good for now.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Name brand on the resume, generous about letting employees do overtime, free lunches","Takes about 40-60 percent of the money the customer paid, upfront pricing, new surge flat fees",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
The company cares for employees better than any other.,"Clear difference between full-time employees and contract employees (as in, in a different part of the building with no access to the main section), poor facilities (everyone in a room with the toilet in the room and no windows), no sense of community in the contract section, dismissive about the news about the poor Uber work experience.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
None. The company only cares about themselves.,"If I truly have any complaints, they are minor enough that I don't feel the need to express them.",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Great benefits and workplace environment. Free breakfast, lunch, and snacks. Unlimited PTO is awesome.","Uber eats is a con it’s self. I’ve had the experience of driving for Uber eats for only a couple of days and honestly the support team does not help you out at all and also they do not look out for you when all the issues are on them or on the restaurants. They take your money as quickly as possible but when it stems to them giving it back, they rarely give anything back.",growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
"Great environment, incredible people, great benefits. The best company I've worked for.",As company grew they started hiring cogs that would just fit into what they need and do things the way management would do it. They stopped celebrating diversity of experience. This cookie cutter model should be good for an IPO but will not be great for long-term success.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Flexible to work whenever your schedule has an open window,"For a company that calls it's drivers PARTNERS, it doesn't compensate it's partners whom have invested their vehicles, time and efforts properly. With 1/3- 1/2 of a partner's earning per week going  to fuel, tolls and general vehicle maintenance per week. It has built its wealth, as a corporation  off it's ""PARTNERS"" without paying them a living wage.",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
Awesome experience. It was fun.,"- Can be stressful at times, but all jobs can",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
I have work outside and have hard labor all my life I worked construction and landscape since a child also I owned my own landscape business for 7 years!,"- It can get very technical and  decisions need to be made fast, which can be daunting at first",things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Nice to work when you want to, and shut off the app when you are done for the day. Good flexibility. Opportunity to earn extra cash, IF the customer decides to tip.",No cons here. It was great.,things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
Make extra money on your own time,Never really had down side until the economy  went down and people started take care their own yards,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
"Smart people, good benefits, working culture in Asia is awesome",Uber shut our apps off here in Vegas to do extensive background checks with no warning about this time frame. It’s been over 2 weeks now and my income has been greatly affected. Uber doesn’t care about their drivers. Drive for Lyft. The Uber costumers are  self entitled and don’t tip ! They don’t care about your car nor do they respect you. If I could give them a 0 I would.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
you make your own hours,Decentralized/localized management works better; too much power on the HQ or Regional side is making Uber more bureaucratic than ever. Also does not move faster than other competitors to hit the right pain point at each locale.,income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
"amazing insurance, great benefits and employee resource groups for LGBT employees","Overzealous company culture - if you criticize anything at all, you're seen as a detractor",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Make your own schedule. Decent compensation for unskilled labor.,"Progression is bad, they have preferred employees which they promote every 6 months",income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
"Great company to work for, name and benefits",Irregular working hours and some of the work is tedious (e.g. Customer service),things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
Challenging workplace and tasks; Fantastic and driven colleagues,"You probably should get another part time job, or full time, because there are times when it is slow.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Meeting different people, choosing your own schedule, no heavy lifting.",Not for now. - ..............................................................................,growing pay money growth making getting things long management gas,uber drivers don management pay customers time company support employees
The company has massively changed since Dara was appointed as CEO,"Work-life balance can be tricky, but that's something you're able to set for yourself",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"For the ambiance, the opportunity to raise our positions and our knowledges",A young company which need more experience to become efficient,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Get to network with people from every where. You can take it with you to any city, and you are the boss!!","Since I have been with them for 2 and a half years,  never really had a con, maybe more bonuses.",things team support fast bit issues pay drivers growth months,time hours make money long work job uber working like
It is great to know that a huge user base consumes your work. Great people to work with who are generally happy and willing to collaborate.,"Senior management is still old school. In my personal experience, they value big shiny things over everything else. The way to get them to notice you is by making noise and fuzz and not a constant good work.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"A culture that incorporates coaching, mentoring and diversity. A constant flood of support is available. You will never feel alone.",Working in such a large company can make it very hard to have a good grasp on the big picture. Teams all have deadlines so cross-team collaboration needs to be planned well in advance.,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Independence, Flexibility, Good money during high demand periods",Sometimes it can be a high-stress environment which is relatively dependent on the projects at hand.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
"Income potential with extremely hard work, flexibility","Low frequency of high demand periods, Lots of nights and weekends",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
Can schedule our own hours,"Bad support team, generally low wages, unsafe driving conditions",income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Awesome impact on the urban lifestyle,Management needs to be more tenured. Pretty underexperienced,things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
"Uber is really flexible, you can work on your own schedule.",The food delivery app is very much still in development clearly given his horrible it is to run. McDonald’s delivery is a waste and actually you might be losing nit making money with some trips paying only $2.85 total and forget tips Uber McDonald’s customers don’t tip 95% of the time so with wear and tear on your car has be more than that $2 they give you,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Great pace of work. Awesome coworkers. Mid tier pay,"Earnings, poor management, poor communication, poor app development.",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
They claim you can choose your own schedule which is true but obviously it’s busy nights and weekends so expect to work nights and weekends they pay quicker than other sites but they pay less.,UBER is struggling with their marketing expertise in attracting new customer and driver,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"Flexibility, stress level, interesting people, ease of employment opportunity.","using old, fixed  navigation software",things team support fast bit issues pay drivers growth months,uber drivers don management pay customers time company support employees
Able to meet people and sharpening my communication skill,Support team are not helping much.,growing pay money growth making getting things long management gas,work company people lot life hard need balance uber fast
Friendly and supportive 24-hour driver support team,"Still in startup mode, yearly changes in perf processes and career development",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"Meet new people, good money while surge price is available","customer can try to get free rides and complain about you, they will fire you without warning and notice.",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"Easy, and you get to make your own hours.","Sometimes people arent ordering, so you don't make any money.",income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Its a company that wants to do the right thing.   You work on a product that is important to so many people in a very real way.  It has a great mission that can change the world.,"Some of the old uber is returning unchecked.   In particular the bad managers are now rising up after hiding and there are stories of intimidation and fear to control people.   Today I heard a manager telling very new and junior staff while talking about money and stock at their work area, that uber only knows about them what he tells them,  so if they want a pay rise, stock anything they should look after him (in a very...",things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"You get paid weekly, as long as you have self-discipline, you will make okay money.","Customer service is really bad, you have say the same things 100 times before they can process it :)",income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
"The workspace is a pretty cool one, and the team works well together.","You're not taken into consideration for any decision making, passed over for full time positions, there's a huge gap between what is told is gonna take place and what actually does.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Lots of chance to intial your own projects. Give fleibility to interns.,Lack of chance to communicate with technical staffs.,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
Strong team and good management,I don't like the so-called Uber 2.0,things growth takes pay culture employees think customers benefits rates,uber drivers don management pay customers time company support employees
"flexible hours, self employed, tax write off","In my opinion, 60 cents per mile in Houston is frankly a joke.",income rating feel maintenance things miles passengers support pay team,uber drivers don management pay customers time company support employees
Flexible hours. Instant pay. Meeting new people,Wear and tear on your car,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
"- Great team, amazing talent",- A lot of changes,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
Flexible schedule and work enviroment,Company is still figuring our many things,income rating feel maintenance things miles passengers support pay team,work company people lot life hard need balance uber fast
There are absolutely no pros. If you see a 5 star review it is fake.,1) Higher reimbursement for each trip would be better,things team support fast bit issues pay drivers growth months,work company people lot life hard need balance uber fast
"Flexible, that’s about it nothing more.",Could be dangerous based on area and or time of travel.,income rating feel maintenance things miles passengers support pay team,time hours make money long work job uber working like
Good work and life balance,Little to no support or input. Arbitrary pay cuts...,things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
You can Cash out instantly.,Super Low pay for orders.,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
You can work when ever you want.,"The pay is poor at best. Less than $10/hr when you factor in millege, maintainence, &amp; gas.",things team support fast bit issues pay drivers growth months,pay car uber wear gas tear low vehicle driver time
Work on your own schedule,-Wasting time and gas by attempting to pick up restaurant order that has previously been picked up from another driver; Horrible customer support; Low Pay; Lack of accountability from Uber and no chance of compensation when they mess up,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Work your own hours and when it suits you.,Terrible driver support. Unable to talk to anyone other than someone in India about the current job being delivered.,income rating feel maintenance things miles passengers support pay team,pay car uber wear gas tear low vehicle driver time
Challenging and interesting work with real-world impact.,"Big company mindset is sinking in. There are some reasonable tradeoffs being made around this, but if you really can't function in a large org this is going to disturb you.",things growth takes pay culture employees think customers benefits rates,time hours make money long work job uber working like
"Coworkers are amazing people, the partners are what makes this job, the benefits are seriously the best I have ever seen.","Unprofessionalism, lack of experience, HR department is in various locations and not on site, budget issues, a bunch of things you'll come across you should not have come across in a entry level position.",things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
"Good pay, free lunches, whatever equipment you want for your development environment, a chance to make self-driving cars, many good employees.","Does not offer insurance, income is not guaranteed, car wear and tear, no control of false ""bad reviews"" (some people will do this in order to get a 'free' ride)- affects total rating (which is a big deal from what I have gathered from riders)",growing pay money growth making getting things long management gas,pay car uber wear gas tear low vehicle driver time
"love this place, the people, and the energy.  Come here to work.  Hard work is rewarded. Management is open to ideas",Not much.. So many good things to say,things growth takes pay culture employees think customers benefits rates,work company people lot life hard need balance uber fast
